M9R,('43.698692', '-79.560443')
T7N,('54.1269859', '-114.4042896')
H7L,('45.630038', '-73.779661')
M2J,('43.7884427', '-79.3718133')
V3N,('49.22211', '-122.926445')
J4J,('45.524521', '-73.48874')
K0M,('44.810097', '-78.654385')
E2E,('45.412659', '-65.971793')
L1C,('43.9185635', '-78.6828959')
T1Y,('51.074872', '-113.977837')
P1H,('45.331698', '-79.225138')
G6V,('46.811498', '-71.153924')
S6V,('53.201003', '-105.754281')
V8S,('48.423759', '-123.332687')
T5M,('53.5668942', '-113.5381666')
M4C,('43.688438', '-79.307762')
V4X,('49.057079', '-122.422179')
T3C,('51.053541', '-114.15032')
A2H,('48.9590519', '-57.9371873')
K7V,('45.4738367', '-76.6780952')
G8B,('48.552489', '-71.637565')
G4R,('50.20483', '-66.304303')
V6M,('49.227382', '-123.128265')
L4N,('44.358827', '-79.711773')
H2K,('45.528412', '-73.554456')
H4H,('45.452808', '-73.572288')
E1A,('46.110312', '-64.736639')
L2G,('43.04644', '-79.064789')
J2E,('45.906867', '-72.524623')
J9P,('48.071162', '-77.872634')
N3H,('43.400606', '-80.359684')
M8W,('43.6051772', '-79.5341438')
J3G,('45.5654564', '-73.2017816')
H2A,('45.559978', '-73.608679')
K1B,('45.427024', '-75.600707')
E2K,('45.278788', '-66.080566')
J5K,('45.795705', '-74.038195')
H8Z,('45.5154277', '-73.83639')
N2C,('43.4285514', '-80.4462178')
S4H,('49.66364', '-103.860313')
V5B,('49.280269', '-122.969913')
R8A,('54.7744475', '-101.8497305')
L3B,('42.980604', '-79.247608')
M2R,('43.7706842', '-79.4315716')
N2G,('43.455838', '-80.510323')
G2K,('46.852784', '-71.316975')
N9A,('42.3133735', '-83.0363231')
L4L,('43.801381', '-79.60465')
K8N,('44.1814301', '-77.3736091')
L3P,('43.8868601', '-79.2552988')
E3V,('47.398771', '-68.330518')
K9V,('44.3354799', '-78.7492148')
N8S,('42.33931', '-82.939459')
H1T,('45.569217', '-73.569135')
N1E,('43.557887', '-80.24575')
H1M,('45.579178', '-73.553848')
M6H,('43.676335', '-79.433169')
J6J,('45.37411', '-73.738683')
B1A,('46.1898252', '-59.9631261')
V1J,('56.2542885', '-120.8525765')
L4K,('43.8381582', '-79.502444')
R3C,('49.8908387', '-97.1449112')
N7G,('42.9510035', '-81.6289975')
L3V,('44.6190985', '-79.495209')
P1A,('46.289398', '-79.452704')
B2V,('44.677836', '-63.479217')
N8W,('42.300201', '-83.005803')
V7M,('49.311176', '-123.083925')
H7W,('45.542316', '-73.770789')
L2S,('43.162812', '-79.266245')
L6C,('43.897424', '-79.310663')
J1X,('45.2664863', '-72.1479889')
T6K,('53.441711', '-113.44036')
H4E,('45.466196', '-73.587755')
J9Y,('48.388422', '-79.022455')
L2P,('43.145307', '-79.205911')
A1A,('47.5885578', '-52.689192')
L6Z,('43.732189', '-79.801208')
J2A,('45.8082223', '-72.4448457')
V4W,('49.0967786', '-122.5260549')
N1S,('43.367286', '-80.329132')
B4E,('44.7815898', '-63.6952529')
L1R,('43.9073181', '-78.9148087')
R3T,('49.793573', '-97.14454')
E4R,('46.3405919', '-64.6200298')
H8R,('45.4337925', '-73.6457758')
E7E,('47.252406', '-68.023721')
E7B,('47.453796', '-68.287615')
V3S,('49.1410115', '-122.81478')
J3B,('45.297953', '-73.254338')
V2C,('50.668728', '-120.157207')
M3J,('43.7549662', '-79.4960127')
G7J,('48.432884', '-71.116575')
N7M,('42.403122', '-82.183862')
M8X,('43.647597', '-79.51031')
G4V,('49.127567', '-66.461692')
V6B,('49.2796673', '-123.1134823')
N1G,('43.522619', '-80.227984')
V2A,('49.498824', '-119.58913')
J1E,('45.412317', '-71.861968')
V1T,('50.260236', '-119.265341')
C1B,('46.215414', '-63.081956')
T5T,('53.5177305', '-113.6286545')
P4N,('48.468906', '-81.341449')
H7G,('45.576294', '-73.674538')
E7P,('46.289984', '-67.51568')
J9J,('45.440743', '-75.841402')
J0Z,('46.785434', '-78.986138')
T5C,('53.589299', '-113.453957')
A1C,('47.565875', '-52.718253')
M1K,('43.726716', '-79.26991')
L7C,('43.787808', '-79.921719')
B9A,('45.622091', '-61.339522')
V6H,('49.246467', '-123.137484')
X1A,('62.443829', '-114.419531')
G4X,('48.831173', '-64.491726')
T8V,('55.1769908', '-118.7844618')
L5M,('43.555672', '-79.74321')
R2W,('49.921971', '-97.148042')
N7T,('42.983463', '-82.403942')
P7B,('48.4257375', '-89.254546')
T2N,('51.071502', '-114.136111')
L1S,('43.863259', '-79.032698')
T3R,('51.1765565', '-114.1581855')
L9Y,('44.503146', '-80.222188')
V8A,('49.809212', '-124.517089')
V9B,('48.437991', '-123.492677')
G3G,('46.904045', '-71.365475')
V2M,('53.912437', '-122.803875')
T9A,('52.9761361', '-113.3856885')
T7E,('53.5855087', '-116.4428615')
T6J,('53.467545', '-113.508716')
V6X,('49.178432', '-123.091712')
E4P,('46.2357483', '-64.5124685')
P3G,('46.434985', '-80.933704')
K7L,('44.232175', '-76.49464')
M4S,('43.704211', '-79.379485')
K1T,('45.358469', '-75.644724')
E3A,('45.983207', '-66.672176')
L4M,('44.3943', '-79.692593')
L8G,('43.214608', '-79.757232')
S7J,('52.097155', '-106.638282')
V8L,('48.673745', '-123.457731')
G1V,('46.76847', '-71.286404')
J5B,('45.377529', '-73.547875')
H7S,('45.57813', '-73.740644')
V8V,('48.414415', '-123.374727')
V8W,('48.4250065', '-123.365279')
J7C,('45.659317', '-73.854778')
G7P,('48.5556837', '-71.3205493')
M1W,('43.7967479', '-79.3157403')
V2T,('49.068313', '-122.350668')
V1N,('49.240349', '-117.688602')
E8E,('47.983614', '-66.328477')
L7E,('43.879307', '-79.735073')
J6S,('45.199732', '-74.164525')
V2G,('52.10412', '-122.128396')
N1T,('43.356295', '-80.281027')
V9R,('49.16275', '-123.959841')
G3S,('46.863956', '-71.431504')
B4A,('44.725199', '-63.667093')
T5Z,('53.629865', '-113.455889')
E3C,('45.8623189', '-66.6682645')
A5A,('48.2053011', '-53.9624853')
G7H,('48.421293', '-71.021807')
T4R,('52.265231', '-113.758447')
K2M,('45.290533', '-75.856043')
P1B,('46.324973', '-79.46892')
L6E,('43.899227', '-79.273304')
J6E,('46.041385', '-73.431866')
K9A,('43.962906', '-78.173776')
V3B,('49.285277', '-122.736468')
G6W,('46.754946', '-71.223964')
H4C,('45.48411', '-73.579769')
